"","Ancestor","Clan"
"462","modern Bacteria","PF01355"
"463","modern Bacteria","PF01383"
"464","modern Bacteria","PF01405"
"465","modern Bacteria","PF01430"
"466","modern Bacteria","CL0725"
"467","modern Bacteria","CL0598"
"468","modern Bacteria","PF01491"
"469","modern Bacteria","PF01521"
"470","modern Bacteria","PF01701"
"471","modern Bacteria","PF01737"
"472","modern Bacteria","PF01744"
"473","modern Bacteria","PF01788"
"474","modern Bacteria","PF02013"
"475","modern Bacteria","CL0461"
"476","modern Bacteria","PF02081"
"477","modern Bacteria","PF02092"
"478","modern Bacteria","PF02104"
"479","modern Bacteria","PF02255"
"480","modern Bacteria","PF02315"
"481","modern Bacteria","PF02341"
"482","modern Bacteria","PF02419"
"483","modern Bacteria","PF02467"
"484","modern Bacteria","PF02468"
"485","modern Bacteria","PF02507"
"486","modern Bacteria","PF02529"
"487","modern Bacteria","PF02531"
"488","modern Bacteria","PF02532"
"489","modern Bacteria","PF02533"
"490","modern Bacteria","PF02561"
"491","modern Bacteria","PF02577"
"492","modern Bacteria","PF02605"
"493","modern Bacteria","PF02672"
"494","modern Bacteria","PF02720"
"495","modern Bacteria","PF02829"
"496","modern Bacteria","PF02898"
"497","modern Bacteria","CL0354"
"498","modern Bacteria","PF02975"
"499","modern Bacteria","PF03040"
"500","modern Bacteria","PF03230"
"501","modern Bacteria","PF03280"
"502","modern Bacteria","PF03323"
"503","modern Bacteria","PF03419"
"504","modern Bacteria","PF03503"
"505","modern Bacteria","PF03527"
"506","modern Bacteria","PF03538"
"507","modern Bacteria","PF03603"
"508","modern Bacteria","PF03647"
"509","modern Bacteria","PF03672"
"510","modern Bacteria","PF03677"
"511","modern Bacteria","PF03695"
"512","modern Bacteria","PF03698"
"513","modern Bacteria","PF03699"
"514","modern Bacteria","PF03701"
"515","modern Bacteria","PF03742"
"516","modern Bacteria","PF03752"
"517","modern Bacteria","PF03771"
"518","modern Bacteria","PF03777"
"519","modern Bacteria","PF03780"
"520","modern Bacteria","PF03817"
"521","modern Bacteria","PF03843"
"522","modern Bacteria","PF03862"
"523","modern Bacteria","PF03873"
"524","modern Bacteria","PF03885"
"525","modern Bacteria","PF03889"
"526","modern Bacteria","PF03903"
"527","modern Bacteria","PF03912"
"528","modern Bacteria","PF03925"
"529","modern Bacteria","PF03937"
"530","modern Bacteria","PF03974"
"531","modern Bacteria","PF03981"
"532","modern Bacteria","CL0333"
"533","modern Bacteria","PF04085"
"534","modern Bacteria","PF04102"
"535","modern Bacteria","PF04122"
"536","modern Bacteria","PF04149"
"537","modern Bacteria","PF04167"
"538","modern Bacteria","PF04175"
"539","modern Bacteria","PF04200"
"540","modern Bacteria","PF04208"
"541","modern Bacteria","PF04213"
"542","modern Bacteria","PF04217"
"543","modern Bacteria","PF04219"
"544","modern Bacteria","PF04220"
"545","modern Bacteria","PF04241"
"546","modern Bacteria","CL0755"
"547","modern Bacteria","PF04267"
"548","modern Bacteria","PF04269"
"549","modern Bacteria","PF04270"
"550","modern Bacteria","PF04278"
"551","modern Bacteria","PF04279"
"552","modern Bacteria","PF04287"
"553","modern Bacteria","PF04314"
"554","modern Bacteria","PF04315"
"555","modern Bacteria","PF04325"
"556","modern Bacteria","PF04327"
"557","modern Bacteria","PF04333"
"558","modern Bacteria","PF04344"
"559","modern Bacteria","PF04352"
"560","modern Bacteria","PF04353"
"561","modern Bacteria","PF04354"
"562","modern Bacteria","PF04356"
"563","modern Bacteria","PF04361"
"564","modern Bacteria","PF04362"
"565","modern Bacteria","PF04363"
"566","modern Bacteria","PF04364"
"567","modern Bacteria","PF04368"
"568","modern Bacteria","PF04375"
"569","modern Bacteria","PF04380"
"570","modern Bacteria","PF04381"
"571","modern Bacteria","PF04386"
"572","modern Bacteria","PF04394"
"573","modern Bacteria","PF04405"
"574","modern Bacteria","PF04417"
"575","modern Bacteria","PF04442"
"576","modern Bacteria","PF04444"
"577","modern Bacteria","PF04461"
"578","modern Bacteria","PF04483"
"579","modern Bacteria","PF04485"
"580","modern Bacteria","PF04518"
"581","modern Bacteria","PF04531"
"582","modern Bacteria","PF04588"
"583","modern Bacteria","PF04613"
"584","modern Bacteria","PF04647"
"585","modern Bacteria","PF04650"
"586","modern Bacteria","PF04654"
"587","modern Bacteria","PF04688"
"588","modern Bacteria","CL0590"
"589","modern Bacteria","PF04746"
"590","modern Bacteria","PF04751"
"591","modern Bacteria","PF04763"
"592","modern Bacteria","PF04800"
"593","modern Bacteria","PF04809"
"594","modern Bacteria","PF04829"
"595","modern Bacteria","PF04830"
